source	preferred_ja	alt_ja	category	notes
feat	特技	偉業	feat	feat/UI surfaces では常に特技を使う。
ability check	能力値判定	能力チェック	system	判定の基本形。
saving throw	セーヴィング・スロー	セービングスロー|セービング スロー|セーヴィング スロー	system	ルール文では中黒ありを優先。
saving throw DC	セーヴ難易度	セーブDC|スペルセーブ難易度	system	可能な限り短く統一。
hit points	ヒット・ポイント	ヒットポイント|ヒット ポイント	system	中黒ありを優先。
temporary hit points	一時ヒット・ポイント	一時的なヒットポイント|一時的なヒット ポイント	system	中黒ありを優先。
Proficiency Bonus	習熟ボーナス	熟練度ボーナス	system	5e公式表記を優先。
initiative	イニシアチブ	イニシアティブ|Initiative	system	ルール語はイニシアチブに統一。
short rest	小休憩	短い休息|短い休憩|短い休み|Short Rest|Short Rests	class_feature	ルール語は小休憩に統一。
long rest	大休憩	長い休息|長い休憩|長い休み|Long Rest|Long Rests	class_feature	ルール語は大休憩に統一。
Armor Class	AC	アーマークラス|アーマー クラス	system	ラベルは AC を優先。
simple weapon	簡易武器	単純な武器|シンプル武器	weapon	武器区分は簡易武器を優先。
martial weapon	軍用武器	格闘武器|武術武器|武道武器|武用武器	weapon	武器区分は軍用武器を優先。
medium armor	中装鎧	中装甲|中型鎧|中程度の鎧	armor	防具区分は中装鎧を優先。
heavy armor	重装鎧	重装甲	armor	防具区分は重装鎧を優先。
Polearm	長柄武器	ポールアーム|Polearm	weapon	武器カテゴリでは長柄武器を優先。
Strength	筋力	強さ|腕力	ability	能力値ラベルは筋力。
Dexterity	敏捷力	器用さ|敏捷性	ability	能力値ラベルは敏捷力。
Constitution	耐久力	憲法|体質	ability	能力値ラベルは耐久力。
Intelligence	知力	知性	ability	能力値ラベルは知力。
Wisdom	判断力	知恵	ability	能力値ラベルは判断力。
Charisma	魅力	カリスマ性	ability	能力値ラベルは魅力。
Acrobatics	〈軽業〉	アクロバット	skill	技能名は山括弧付き。
Animal Handling	〈動物使い〉	動物の取り扱い	skill	技能名は山括弧付き。
Athletics	〈運動〉	陸上競技|アスレチック	skill	技能名は山括弧付き。
Insight	〈看破〉	洞察力	skill	技能名は山括弧付き。
Medicine	〈医術〉	医学	skill	技能名は山括弧付き。
Perception	〈知覚〉	知覚	skill	技能名は山括弧付き。
Sleight of Hand	〈手先の早業〉	手先の巧みさ	skill	技能名は山括弧付き。
Stealth	〈隠密〉	ステルス	skill	技能名は山括弧付き。
Survival	〈生存〉	生存	skill	技能名は山括弧付き。
Humanoid	人型生物	ヒューマノイド	creature_type	種別は人型生物。
radiant	光輝	放射	damage_type	ダメージ種別は光輝。
necrotic	死霊	壊死|壊死性	damage_type	ダメージ種別は死霊。
force	力場	フォース	damage_type	ダメージ種別は力場。
Acid Splash	酸の飛沫	アシッド・スプラッシュ	spell	システム文では漢字和訳を優先。
Acid Arrow	酸の矢	アシッド・アロー|Acid Arrow	spell	システム文では漢字和訳を優先。
Aid	助力	エイド	spell	システム文では漢字和訳を優先。
Burning Hands	火炎双手	バーニング・ハンズ|バーニングハンズ|燃える手	spell	システム文では漢字和訳を優先。
Healing Word	癒しの言葉	ヒーリング・ワード|ヒーリング ワード	spell	システム文では漢字和訳を優先。
Cure Wounds	傷治療	キュア・ウーンズ|キュア ウーンズ	spell	システム文では漢字和訳を優先。
Misty Step	霧渡り	ミスティ・ステップ|ミスティ ステップ	spell	システム文では漢字和訳を優先。
Hellish Rebuke	地獄の叱咤	ヘリッシュ・リビューク|地獄の叱責	spell	システム文では漢字和訳を優先。
Scorching Ray	灼熱の光線	スコーチング・レイ|スコーチングレイ	spell	システム文では漢字和訳を優先。
Faerie Fire	妖精の火	フェアリー・ファイアー|フェアリー・ファイア	spell	システム文では漢字和訳を優先。
Charm Person	人物魅了	チャーム・パーソン|チャーム・パースン|チャーム パーソン|魅力者	spell	システム文では漢字和訳を優先。
Color Spray	色しぶき	カラー・スプレー|カラー スプレー|カラースプレー	spell	システム文では漢字和訳を優先。
Chromatic Orb	万色弾	クロマティック・オーブ|クロマティックオーブ	spell	システム文では漢字和訳を優先。
Comprehend Languages	言語理解	コンプリヘンド・ランゲージズ	spell	システム文では漢字和訳を優先。
Detect Magic	魔法の感知	ディテクト・マジック|ディテクトマジック|Detect Magic	spell	システム文では漢字和訳を優先。
Dispel Magic	魔法解呪	ディスペル・マジック|Dispel Magic	spell	システム文では漢字和訳を優先。
Counterspell	呪文妨害	カウンタースペル|Counterspell	spell	システム文では漢字和訳を優先。
Earth Tremor	微震	アース・トレマー|アーストレマー	spell	システム文では漢字和訳を優先。
Expeditious Retreat	迅速退却	エクスペディシャス・リトリート|エクスペディオス・リトリート|迅速な撤退|Expeditious Retreat	spell	システム文では漢字和訳を優先。
Feather Fall	軟着陸	フェザー・フォール|フェザー フォール|フェザーフォール	spell	システム文では漢字和訳を優先。
Bestow Curse	呪詛	ビストウ・カース|ビストウ・カーズ|Bestow Curse	spell	システム文では漢字和訳を優先。
Conjure Animals	動物召喚	カンジャー・アニマルズ|カンジャー・アニマルス|Conjure Animals	spell	システム文では漢字和訳を優先。
Conjure Celestial	セレスチャル召喚	カンジャー・セレスチャル|Conjure Celestial	spell	システム文では漢字和訳を優先。
Conjure Elemental	エレメンタル召喚	カンジャー・エレメンタル|Conjure Elemental	spell	システム文では漢字和訳を優先。
Conjure Minor Elementals	小型エレメンタル群召喚	カンジャー・マイナー・エレメンタルズ|カンジャー・マイナー・エレメンタルス|Conjure Minor Elementals	spell	システム文では漢字和訳を優先。
Detect Evil and Good	善悪感知	ディテクト・イーヴル・アンド・グッド|ディテクト・イービル・アンド・グッド|Detect Evil and Good	spell	システム文では漢字和訳を優先。
Detect Poison and Disease	毒と病気の感知	ディテクト・ポイズン・アンド・ディジーズ|ディテクト・ポイズン・アンド・ディスイーズ|Detect Poison and Disease	spell	システム文では漢字和訳を優先。
Dimension Door	次元扉	ディメンジョン・ドア|ディメンション・ドア|Dimension Door	spell	システム文では漢字和訳を優先。
